date,open,high,low,close,volume
2022-03-10,603444,323.86,329.99,326.08,323.0
2022-03-11,603444,323.92,326.5,314.14,313.66
2022-03-14,603444,314.0,326.01,321.39,314.0
2022-03-15,603444,301.31,314.38,311.01,301.15
2022-03-16,603444,309.92,310.8,305.48,292.2
2022-03-17,603444,340.91,340.91,315.5,315.5
2022-03-18,603444,344.74,350.7,336.6,335.0
2022-03-21,603444,352.75,358.63,351.67,346.06
2022-03-22,603444,349.2,356.04,353.99,347.4
2022-03-23,603444,354.28,356.86,350.2,344.09
2022-03-24,603444,349.5,353.9,353.9,346.55
2022-03-25,603444,347.33,351.83,350.39,347.22
2022-03-28,603444,350.12,351.16,342.86,340.13
2022-03-29,603444,342.43,352.52,352.32,342.27
2022-03-30,603444,353.91,356.46,345.15,340.0
2022-03-31,603444,360.5,362.7,352.23,351.33
2022-04-01,603444,384.12,386.0,359.78,357.37
2022-04-06,603444,378.52,388.0,382.5,375.82
2022-04-07,603444,373.55,384.9,378.52,370.36
2022-04-08,603444,364.7,379.8,375.0,360.0
2022-04-11,603444,349.11,387.76,361.94,337.01
2022-04-12,603444,358.09,379.78,377.99,349.0
2022-04-13,603444,344.4,356.49,350.67,339.58
2022-04-14,603444,349.0,351.3,346.0,342.03
